[2026-04-14T11:18:44.709Z] GET http://localhost:8391/finalized.html → 200 (7ms, 41092B)
[2026-04-14T11:18:44.718Z] GET https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@400;500;600;700;800;900&family=Inter:wght@400;500;600;700&display=swap → 200 (127ms, 15248B)
[2026-04-14T11:18:44.721Z] GET https://docs.google.com/forms/d/e/1FAIpQLSes_7x_yesorlzCl2WJgv2sO9yPLUJJuBRLO334U75C_lbmDg/viewform?embedded=true → pending (?ms, ?B)
[2026-04-14T11:18:44.881Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (51ms, 22320B)
[2026-04-14T11:18:44.881Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (41ms, 48432B)
[2026-04-14T11:18:44.881Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa25L7W0Q5n-wU.woff2 → 200 (52ms, 85272B)
[2026-04-14T11:18:44.881Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPb94C_k3HqUtEw.woff2 → 200 (51ms, 18924B)
[2026-04-14T11:18:44.881Z] GET https://pix8.agoda.net/hotelImages/76393384/0/afa31a19327217804cadfdbb3688501e.jpg → pending (?ms, ?B)
[2026-04-14T11:18:44.882Z] GET https://pix8.agoda.net/hotelImages/76393384/0/a7fa5d81291f32e0449c214ec8bab14e.jpg → pending (?ms, ?B)
[2026-04-14T11:18:44.882Z] GET https://pix8.agoda.net/hotelImages/76393384/0/3d09eea39c7aec07f64ef0fad1da4298.jpg → pending (?ms, ?B)
[2026-04-14T11:18:44.882Z] GET https://pix8.agoda.net/hotelImages/76393384/1194972271/41018aabbece56820fe624c3140a90e1.jpg → pending (?ms, ?B)
[2026-04-14T11:18:44.882Z] GET https://pix8.agoda.net/hotelImages/280/2801962/2801962_17091418100056398281.jpg → pending (?ms, ?B)
[2026-04-14T11:18:44.882Z] GET https://pix8.agoda.net/hotelImages/280/2801962/2801962_17091418100056398286.jpg → pending (?ms, ?B)
[2026-04-14T11:18:44.882Z] GET https://pix8.agoda.net/hotelImages/280/2801962/2801962_17091418100056398283.jpg → pending (?ms, ?B)
[2026-04-14T11:18:44.882Z] GET https://pix10.agoda.net/hotelImages/1135313/0/def36381dcb1b54d100a469defbc7fdb.jpg → pending (?ms, ?B)
[2026-04-14T11:18:44.886Z] GET https://pix8.agoda.net/hotelImages/113/1135313/1135313_16062817420044237802.jpg → pending (?ms, ?B)
[2026-04-14T11:18:44.886Z] GET https://pix8.agoda.net/hotelImages/113/1135313/1135313_16062817420044237796.jpg → pending (?ms, ?B)
[2026-04-14T11:18:44.886Z] GET https://pix8.agoda.net/hotelImages/22093710/0/d5b5f26e4f7bf8ca2b6edbf7b33b8e30.jpg → pending (?ms, ?B)
[2026-04-14T11:18:44.886Z] GET https://pix8.agoda.net/hotelImages/22093710/0/b8f4cfdfb57f8e96f13ffab0f11b91f7.jpg → pending (?ms, ?B)
[2026-04-14T11:18:44.886Z] GET https://pix8.agoda.net/hotelImages/22093710/0/dfe9b8c5e94b8cc9b2f63c6da4ab4c71.jpg → pending (?ms, ?B)
[2026-04-14T11:18:44.886Z] GET https://a0.muscache.com/im/pictures/d5f42a4d-787d-4df4-94c0-afada7bda883.jpg → pending (?ms, ?B)
[2026-04-14T11:18:44.886Z] GET https://a0.muscache.com/im/pictures/miso/Hosting-53394881/original/0ba8082d-5e94-48a0-a57c-6507e3b0c22e.jpeg → pending (?ms, ?B)
[2026-04-14T11:18:44.886Z] GET https://a0.muscache.com/im/pictures/miso/Hosting-53394881/original/e7ded43c-d7f1-4c9f-a2b0-d68bfef0bf45.jpeg → pending (?ms, ?B)
[2026-04-14T11:18:44.886Z] GET https://cf.bstatic.com/xdata/images/hotel/max1024x768/478088489.jpg → pending (?ms, ?B)
[2026-04-14T11:18:44.886Z] GET https://cf.bstatic.com/xdata/images/hotel/max1024x768/478088496.jpg → pending (?ms, ?B)
[2026-04-14T11:18:44.886Z] GET https://cf.bstatic.com/xdata/images/hotel/max1024x768/478088505.jpg → pending (?ms, ?B)
[2026-04-14T11:18:44.887Z] GET https://esm.sh/@chenglou/pretext → pending (?ms, ?B)
[2026-04-14T11:18:45.186Z] GET https://ssl.gstatic.com/docs/common/product/forms_app_icon1.png → 200 (34ms, 409B)
[2026-04-14T11:18:45.186Z] GET https://www.gstatic.com/images/branding/googleg/1x/googleg_standard_color_48dp.png → 200 (29ms, 1307B)
[2026-04-14T11:18:45.304Z] GET https://esm.sh/@chenglou/pretext@0.0.5/es2022/dist/analysis.mjs → 200 (356ms, 12297B)
[2026-04-14T11:18:45.304Z] GET https://esm.sh/@chenglou/pretext@0.0.5/es2022/dist/line-break.mjs → 200 (362ms, 8761B)
[2026-04-14T11:18:45.304Z] GET https://esm.sh/@chenglou/pretext@0.0.5/es2022/dist/measurement.mjs → 200 (368ms, 3625B)
[2026-04-14T11:18:45.304Z] GET https://esm.sh/@chenglou/pretext@0.0.5/es2022/pretext.mjs → 200 (363ms, 22721B)
